# https://wiki.pcsx2.net/Complete_List_of_Games + https://wiki.pcsx2.net/Complete_List_of_Demos_and_Tool_Discs
# Title;ID
!Que Pasa Neng!;SLES-54604
.hack//Fragment;SLPS-25527
BeatMania IIDX 14: Gold;SLPM-66995, VW362-J1, 2DX14SP (Special Edition), 2DX14SPC (Special Edition, Complete Set)
BeatMania IIDX 15: DJ Troopers;SLPM-55117, VW367-J1
BeatMania IIDX 16: Empress + Premium Best;SLPM-55221 (Empress Disc), SLPM-55222 (Premium Best Disc), VW374-J1
BeatMania IIDX 3rd Style;SLPM-65006, VW013-J1
BeatMania IIDX 4th Style: New Songs Collection;SLPM-65026, VW028-J1
BeatMania IIDX 5th Style: New Songs Collection;SLPM-65049, VW045-J1
Beatmania IIDX 6th Style: New Songs Collection;SLPM-65156, VW094-J1
BeatMania IIDX 7th Style;SLPM-65593, VW209-J1
BeatMania IIDX 8th Style;SLPM-65768, VW245-J1, 2DX8SP (Special Edition)
Beatmania IIDX 9th Style;SLPM-65946, VW269-J1, 2DX9VR (Rare Special Edition V), 2DX9VE (w/ Visual Emotions 2), 2DX9VRVE (Rare Special Edition V w/ Visual Emotions 2), 2DX9VRGS (Complete Special Edition), 2DX9VRGSVE (Complete Special Edition w/ Visual Emotions 2)
Beck: The Game;SLPS-25474
Bee Movie Game;SLUS-21622 SLES-55016
Ben 10 - Alien Force;SLUS-21815 SLES-55440
Ben 10 Alien Force: Vilgax Attacks;SLUS-21921 SLES-55592
Ben 10 Ultimate Alien: Cosmic Destruction;SLUS-21938 SLES-55639
Ben 10: Protector of Earth;SLUS-21661 SLES-54951, SLES-54952
Ben Hur: Blood of Braves;SLES-51350
