# https://wiki.pcsx2.net/Complete_List_of_Games + https://wiki.pcsx2.net/Complete_List_of_Demos_and_Tool_Discs
# Title;ID
!Que Pasa Neng!;SLES-54604
.hack//Fragment;SLPS-25527
Star Trek: Encounters;SLUS-21396 SLES-54554
Star Trek: Shattered Universe;SLUS-20112 SLES-52209
Star Trek: Voyager Elite Force;SLUS-20227 SLES-50738
Star Wars Bounty Hunter;SLUS-20420, SLUS-20420GH (Greatest Hits), NPUD-20420 (PS2 Classics) SLES-50831, SLES-50832, SLES-50833, SLES-50834, SLES-50835, NPED-00289 (PS2 Classics) SLPS-25252, SLPM-65726 (EA Best Hits)
Star Wars Episode III: Revenge of the Sith;SLUS-21143, SLUS-21143GH (Greatest Hits), NPUD-21143 (PS2 Classics) SLES-53155, SLES-53157, SLES-53156, SLES-53157/P SLPM-66046, SLPM-66252 (DVD Pack), SLPM-66515 (EA Best Hits)
Star Wars Racer Revenge;SLUS-20268, NPUD-20268 (PS2 Classics) SLES-50366, NPED-00290 (PS2 Classics)
Star Wars Starfighter;SLUS-20044, SLUS-20044GH (Greatest Hits), NPUD-20044 (PS2 Classics) SLES-50165, SLES-50165P (Platinum), SLES-50166, SLES-50167, SLES-50168, SLES-50169 SLPS-20109, SLPM-62537 (EA Best Hits)
Star Wars The Clone Wars: Republic Heroes;SLUS-21913
Star Wars: Battlefront;SLUS-20898, SLUS-20898GH (Greatest Hits) SLES-52545, SLES-52546 (French), SLES-52547 (German), SLES-52545/P (Platinum: The Best of PlayStation 2), SLES-52547/P (Platinum) SLPM-65687, SLPM-66148 (EA Best Hits)
Star Wars: Battlefront II;SLUS-21240, SLUS-21240GH (Greatest Hits), SLUS-29164 (Online Public Beta) SLES-53501, SLES-53502 (French), SLES-53503 (German), SLES-53501/P (Platinum: The Best of PlayStation 2), SLES-53503/P SLPM-66190
Star Wars: Jedi Starfighter;SLUS-20293, SLUS-28010 (Trade Demo) SLES-50371, SLES-50372, SLES-50373, SLES-50374, SLES-50375 SLPS-25147, SLPM-67543
Star Wars: Super Bombad Racing;SLUS-20043 SLES-50204, SLES-50206, SLES-50205, SLES-50207, SLES-50208
Star Wars: The Clone Wars;SLUS-20510 SLES-50826, SLES-50828, SLES-50830, SLES-50827
Star Wars: The Force Unleashed;SLUS-21614, SLUS-21614GH (Greatest Hits) SLES-54658, SLES-54659, SLES-54659/P (Platinum: The Best of PlayStation 2) SLPS-25888
Starsky & Hutch;SLUS-20619 SLES-51617, SLES-51618, SLES-51783, SLED-51651 (Demo) SLKA-25090 (Korea)
StarTRain: Your Past Makes Your Future;SLPM-66880, SLPM-66879 (First Print Limited Edition)
State of Emergency;SLUS-20214, SLUS-20214GH (Greatest Hits) SLES-50606, SLES-51046, SLES-51046-P (Platinum)
State of Emergency 2;SLUS-20966, SLUS-28056 (Trade Demo) SLES-54089, SLES-54092 SLPM-66485
Steady x Study;SLPM-65558, SLPM-65557 (Limited Edition)
Stealth Force 2;SLES-55055
Stealth Force: The War on Terror;SLES-53361
Steam Express;SLES-55190
Steambot Chronicles;SLUS-21344, SLUS-29188 (Regular Demo), SLUS-28061 (Trade Demo) SLES-54138, SLES-54335 (France) SLPS-25457, SCKA-20058 (Korea), SLPS-25683 (Irem Collection), SCAJ-20129, SLPM-60255 (Trial), SLPM-60266 (Demo bundled with Official Guide Book)
Steamboy;SLPS-25502, SLPM-60265 (Trial Version, Unconfirmed)
Stella Deus: The Gate of Eternity;SLUS-21132, SLUS-28050 (Trade Demo), NPUD-21132 (PS2 Classics) SLES-53765 SLPM-65685, SLPM-66670 (Atlus Best Collection)
Stepping Selection;SLPS-20018 (Disc 1), SLPS-20019 (Disc 2)
Stock Car Crash;SLES-53972
Stolen;SLUS-21099 SLES-52882, SLED-53137 (Demo)
Strawberry Panic!;SLPS-25612, SLPS-25611 (Limited Edition)
Strawberry Shortcake: The Sweet Dreams Game;SLUS-21497 SLES-54309
Street Cricket Champions;SCES-55591
Street Cricket Champions 2;SCES-55663
Street Dance;SLES-54331
Street Fighter Alpha Anthology;SLUS-21317 SLES-54085 SLPM-66409, SLPM-66854 (Best Price)
Street Fighter Anniversary Collection;SLUS-20949 SLKA-25183, SLKA-25437 (BigHit Series)
Street Fighter EX3;SLUS-20130 SLES-50072 SLPS-20003, SLPM-60105 (Demo, Taikenban)
Street Fighter III: 3rd Strike;SLPM-65621, CPCS-01009 (Limited Edition), SLPM-66639 (CapKore)
Street Hoops;SLUS-20299, SLUS-20299GH (Greatest Hits) SLES-50862
Street Mahjong Trans-Asakami 2;SLPS-20017, SLPS-20126 (Super Value 2800)
Street Racing Syndicate;SLUS-20582 SLES-53045
Street Warrior;SLES-54675
Stretch Panic;SLUS-20182 SLES-50310 SLPM-62109, VO-0020
Strike Force Bowling;SLUS-20846 SLES-53172
Strike Witches: Anata to Dekiru Koto - A Little Peaceful Days;SLPM-55174, SLPM-55173 (Limited Edition)
Strikers 1945 I & II + Gunbird: Premium Package Shooting Collection;
Stuart Little 3: Big Photo Adventure;SLUS-21341 SCES-53422 SCKA-20067 (Korea)
Stunt GP;SLUS-20218 SLES-50064 SLPS-20152
Stuntman;SLUS-20250, SLUS-20250GH (Greatest Hits) SLES-50288, SLED-50489 (Demo), SLED-51012 (Demo) SLPM-66019
Stuntman Ignition;SLUS-21626, NPUD-21626 (PS2 Classics) SLES-54820 SLPM-66910
Sub Rebellion;SLUS-20548 SLES-51160 SLPS-20194, SCPS-56011, SCPS-51009, SLPM-60176 (Trial)
Sudoku;SLPM-62387 (Superlite 2000 Puzzle)
Sugar + Spice! Anoko no Suteki na Nanimokamo;SLPM-55047, ALCH-00015 (Koi no Himitsu Recipe)
Sugar Sugar Rune;SLPS-25587
Suggoi! Arcana Heart 2;SLPM-55147
Sui-Sui-Sweet;SLPM-62437
Suigetsu Mayoi-Gokoro;SLPM-65751, SLPM-66587 (2800 Collection)
Suika A.S+ Eternal Name;SLPM-66787, PBGP-0061 (First Print Limited Edition), SLPM-55042 (Sweet So Sweet)
Suikoden III;SLUS-20387, NPUD-00294 (PS2 Classics) SLPM-65074, VW062-J1, SLPM-65073 (First Print Limited Edition), VW091-J1 (First Print Limited Edition), SLPM-68505 (Special Edition), VW062-J9 (Special Edition), SLPM-65305 (Konami the Best), VW062-J2 (Konami the Best), SLPM-65694 (Konami Dendou Collection), VW062-J4 (Konami Dendou Collection), NPJD-00087 (PS2 Classics)
Suikoden IV;SLUS-20979 SLES-52913 SLPM-65600, VW225-J1, SLPM-65599 (Limited Edition), VW232-J1 (Limited Edition), SLPM-74213 (PlayStation2 the Best), VW235-J2 (PlayStation2 the Best)
Suikoden Tactics;SLUS-21245 SLES-53769 SLPM-66105, VW286-J1, SLPM-66594 (Konami the Best), VW286-J2 (Konami the Best)
Suikoden V;SLUS-21291 SLES-54087 SLPM-66286, VW297-J1, SLPM-66170 (Limited Edition), VW319-J1 (Limited Edition), SLPM-74238 (PlayStation 2 the Best), VW297-J2 (PlayStation 2 the Best)
Suki Namono wa Suki Dakarashou Ganai!! First Limit & Target Nights: Sukisyo Episode #1 & #2;SLPS-20352, SLPS-20353
Suki Namono wa Suki Dakarashou Ganai!! Rain: Sukisyo Episode #3;SLPS-20394
Sukusuku Inufuku;SLPM-62424, SLPM-62630 (Hamster the Best), NPJD-00017 (PS2 Classics)
_summer ##;SLPM-66460, GN-06017 (First Print Limited Edition), SLPM-66877 (Best Version)
Summer Athletics: The Ultimate Challenge;SLUS-21786 SLES-55220
Summer Heat Beach Volleyball;SLUS-20634 SLES-51778 SLKA-25210
Summon Night 3;SLPS-25267, SLPS-73211 (PlayStation 2 the Best), SCAJ-20034
Summon Night 4;SLPS-25704
Summon Night EX-Thesis: Yoake no Tsubasa;SLPS-25528
Summon Night Gran-These: Horobi no Tsurugi to Yakusoku no Kishi;SLPS-25947
Summoner;SLUS-20074 SLES-82001, SLES-82005, SLES-82003
Summoner 2;SLUS-20448, SLUS-29029 (Demo) SLES-51141, SLES-51142 (Germany), SLES-51143 (France), SLES-51275 (Italy), SLED-51091 (Demo)
Sumomo mo Momo mo: Chijou Saikyou no Yome;SLPS-25778, SLPS-25777 (Limited Edition)
Sunny Garcia Surfing;SLUS-20208 SLES-50533
Sunrise Eiyuutan 2;SLPS-25070
Sunrise Eiyuutan 3;SLPS-25592
Sunrise Eiyuutan R;SLPS-25011
Sunrise World War;SLPS-25270
Sunsoft Collection;SLPS-25849 (NeoGeo Online Collection Vol. 11), SLPS-25936 (NeoGeo Online Collection the Best)
Super Bust-A-Move;SLUS-20115 SLES-50076 SLPM-62016, TCPS-10032, SLPM-62144 (Taito Best), TCPS-10045 (Taito Best), SLPM-64512 (Korea), SLPM-60115 (Trial)
Super Bust-A-Move 2;SLUS-20460 SLES-50562 SLPM-62229, TCPS-10055, SLPM-64550 (Korea), SCPS-51015, SCCS-40010
Super Dragon Ball Z;SLUS-21442 SLES-54161 SLPS-25642
Super Farm;SLES-51678
Super Fruit Fall;SLES-54563
Super Galdelic Hour;SLPM-65021
Super Micchan;SLPS-20093, JALE-20005 (T-Shirt Bundle)
Super Monkey Ball Adventure;SLUS-21272 SLES-53701
Super Monkey Ball Deluxe;SLUS-20918 SLES-53037 SLPM-65909, SLKA-25290
Super PickUps;SLUS-21450 SLES-54818
Super Puzzle Bobble Collection;SLKA-15043 (Korea), SLKA-15044 (Korea)
Super Robot Taisen Alpha Premium Edition;SLPS-25538
Super Robot Taisen Impact;SLPS-25104, SLPS-25103 (Limited Edition), SLPS-73416 (PlayStation 2 the Best), SCPS-55021
Super Robot Taisen MX;SLPS-25345
Super Robot Taisen Original Generation Gaiden;SCAJ-20192, SCAJ-20191 (Limited Collection Figure Box), SLPS-25836, SLPS-25835 (Limited Collection Figure Box), SCKA-20117
Super Robot Taisen Z;SLPS-25887, SCAJ-20201, SLPS-73270 (PlayStation 2 the Best), NPJD-00050 (PS2 Classics)
Super Robot Taisen Z Special Disc;SLPS-25920, SCAJ-20202
Super Robot Taisen: Original Generations;SCAJ-20185, SLPS-25733, SLPS-73262 (PlayStation 2 the Best), SCAJ-20200 (PlayStation 2 the Best)
Super Robot Taisen: Scramble Commander;SLPS-25296
Super Robot Taisen: Scramble Commander the 2nd;SLPS-25750
Super Shanghai 2005;SLPM-62552
Super Trucks Racing;SLUS-20748 SLES-50897 SLPM-62256
Superbike GP;SLES-53354
Supercar Street Challenge;SLUS-20012 SLES-50419, SLES-50420 (France), SLES-50421 (Germany) SLPM-62239
Superman Returns;SLUS-21434 SLES-53746, SLES-54348, SLES-54350, SLES-54349, SLES-54351 SLKA-25367 (Korea)
Superman: Shadow of Apokolips;SLUS-20235 SLES-50795
Surf's Up;SLUS-21572 SLES-54583, SLES-54826
Surfing Air Show with RatBoy;SLPS-20197
Surfing H3O;SLUS-20092, SLUS-20009 SLES-50056 SLPS-20029, SLPM-60118 (Trial)
Surveillance: Kanshisha;SCPS-15012, SCPS-55022, PAPX-90220 (Trial)
Suzuki Super-bikes II: Riding Challenge;SLUS-21500 SLES-54222
Suzuki TT Superbikes;SLUS-20912 SLES-51980 SLPM-66403, TCPS-10159
Suzuki TT Superbikes: Real Road Racing Championship;SLUS-21863, NPUD-21863 (PS2 Classics) SLES-54611
Suzumiya Haruhi no Tomadoi;SLPS-25822, SLPS-25821 (Limited Edition), SLPS-73264 (PlayStation 2 the Best), SLPM-68020 (Bonus disc, game videos)
Suzunone Seven: Rebirth Knot;SLPM-55243, ALCH-00027 (Limited Edition)
SVC Chaos: SNK vs. Capcom;SLES-53065 SLPS-25316, SLKA-25125 (Korea), SLPS-25484 (SNK Best Collection)
Sven-Goran Eriksson's World Cup Challenge;SLES-50852, SLES-50854 (Germany), SLES-50853 (France)
Sven-Goran Eriksson's World Cup Manager;SLES-50794
Swashbucklers: Blue vs. Grey;SLUS-21691
SWAT Siege;SLES-54889
SWAT: Global Strike Team;SLUS-20433 SLES-51997, SLES-52097
Sweet Legacy;SLPS-25190
Sweet Season;SLPS-25483
SweetHoneyComing;SLPM-55186, SLPM-55185 (DX Pack)
Swing Away Golf;SLUS-20096 SLES-50033 SLPS-20009, SLPM-60107 (Demo, Taikenban)
Switch;SLPM-65121
Sword of the Samurai;SLES-51290 SLPS-25107, SLKA-25009 (Korea), SLPM-74412 (PlayStation 2 the Best), NPJD-00061 (PS2 Classics), SCPS-55020, SLPM-60177 (Trial)
SX Superstar;SLES-51495
Syberia;SLES-51393
Syberia II;SLES-52831, SLES-53235
Syphon Filter: Dark Mirror;SCUS-97362, SCUS-97620 (Demo) SCES-54794
Syphon Filter: Logan's Shadow;SCUS-97584
Syphon Filter: The Omega Strain;SCUS-97264, SCUS-97264GH (Greatest Hits), SCUS-97520 (Greatest Hits), SCUS-97377 (Regular Demo), NPUC-97264 (PS2 Classics) SCES-52033, TCES-52033 (Beta Trial Disc) SCKA-20032
Taiheiyou no Arashi: Senkan Yamato, Akatsuki ni Shutsugekisu;SLPS-25838, SLPS-25954 (System Soft Selection)
Taiko Drum Master;SLUS-20800 (w/Taiko Controller) SCAJ-10012, SLPS-20414, SLPS-20413 (w/TataKon)
Taiko no Tatsujin Special Pack;SLPN-41001
Taiko no Tatsujin: Appare Sandaime;SCAJ-10006, SLPS-20321, SLPS-20320 (w/TataKon), SLPS-73110 (PlayStation 2 the Best)
Taiko no Tatsujin: Atsumare! Matsuri da!! Yondaime;SLPS-20383, SLPS-20382 (with Drum Controller), SCAJ-10008
Taiko no Tatsujin: Doka! to Oomori Nanadaime;SCAJ-10015, SLPS-20486, SLPS-20485 (w/TataKon)
Taiko no Tatsujin: DOKI! Shinkyoku Darake no Haru Matsuri;SLPS-20272, SCAJ-10003
Taiko no Tatsujin: Go! Go! Godaime;SCAJ-10011, SLPS-20400, SLPS-20399 (w/TataKon), SLPS-73107 (PlayStation 2 the Best)
Taiko no Tatsujin: Tatakon de Dodon ga Don;SLPS-20221 (w/TataKon), SLPS-20282
Taiko no Tatsujin: Tobikkiri! Anime Special;SCAJ-10013, SLPS-20425, SLPS-20424 (w/TataKon)
Taiko no Tatsujin: Wai Wai Happy! Rokudaime;SCAJ-10014, SLPS-20451, SLPS-20450 (w/TataKon)
Taiko no Tatsujin: Waku Waku Anime Matsuri;SLPS-20330, SLPS-73111 (PlayStation 2 the Best), SCAJ-10007
Taikou Risshiden IV;SLPM-62105, SLPM-62405 (Koei the Best), SLPM-62640 (Koei Teiban Series)
Taikou Risshiden V;SLPM-65674, SLPM-66267 (Koei the Best), SLPM-55251 (Koei Teiban Series)
Taikyoku Mahjong: Net de Ron!;SLPS-20117, SLPM-60161 (Demo, Monitor Version)
Taisen Hot Gimmick: Axes-Jong;SLPM-62612, SLPM-62611 (Special Edition)
Taisen Hot Gimmick: Cosplay-Jan;SLPM-62488, SLPM-62480 (Special Edition), SLPM-62594 (Psikyo Best)
Taisen(1) Shogi;SLPS-20333
Taisen(2) Igo;SLPS-20334
Taisen(3) Mahjong;SLPS-20335
Taisen(4) Soldier;SLPS-20336
Taishou Mononoke Ibunroku;SLPM-65228, SLKA-25123 (Korea)
Taito Legends;SLUS-21122 SLES-53438, SLES-53966 SLKA-15056 (Korea)
Taito Legends 2;SLUS-21349 SLES-53852
Taito Memories Gekan;SLPM-66092, TCPS-10124, SLPM-66521 (Taito Best), TCPS-10164 (Taito Best), SLPM-66776 (Eternal Hits)
Taito Memories II Gekan;SLPM-66713, TCPS-10183, SLPM-55018 (Eternal Hits)
Taito Memories II Joukan;SLPM-66649, TCPS-10178, SLPM-55017 (Eternal Hits)
Taito Memories Joukan;SLPM-66057, TCPS-10115, SLKA-25297 (Korea, Special Package), SLPM-66402 (Taito Best), TCPS-10160 (Taito Best), SLPM-66775 (Eternal Hits)
Tak 2: The Staff of Dreams;SLUS-20952 SLES-53036, SLES-53129 SLKA-25272
Tak and the Guardians of Gross;SLUS-21797 SLES-55376
Tak and the Power of Juju;SLUS-20519, SLUS-20519GH (Greatest Hits), SLUS-29067 (Demo) SLES-52011, SLES-52103, SLES-52286, SLES-52287, SLES-52104 SLKA-25142
Tak: The Great Juju Challenge;SLUS-21218 SLES-53418, SLES-53695
Takahashi Naoko no Marathon Shiyouyo!;SLPM-62407, TCPS-10075
Tales of Destiny;SLPS-25715, SCKA-20100, SLPS-25842 (Director's Cut), SLPS-25841 (Director's Cut, Premium Box), SCKA-20119 (Director's Cut, Premium Box), SCAJ-20182, SCAJ-20193 (Director's Cut)
Tales of Destiny 2;SLPS-25172, SLPS-72502 (Mega Hits!), SLPS-73219 (PlayStation 2 the Best), SCAJ-20028, SCPS-55050, SCKA-20054 (PlayStation 2 Big Hit Series), SCKA-20008
Tales of Fandom Vol. 2;SLPS-25774 (Luke Version), SLPS-25773 (Tear Version)
Tales of Legendia;SLUS-21201 SLPS-25533, SCKA-20050, SLPS-73242 (PlayStation2 the Best), SCAJ-20145
Tales of Rebirth;SLPS-25450, SCAJ-20112
Tales of Symphonia;SLPS-25400, SCAJ-20102, SLPS-73217 (PlayStation 2 the Best)
Tales of the Abyss;SLUS-21386 SLPS-25586, SCAJ-20163, SLPS-73252 (PlayStation 2 the Best)
Tam Tam Paradise;SLPM-62073
Tamayura;SLPM-66433, SLPM-66432 (First Print Limited Edition)
Tango: Game On Demo Disc 1;SCED-51454
Tango: Game On Demo Disc 2;SCED-51643
Tantei Gakuen Q;SLPM-65450, VW178-J1, SLPM-65461 (Second print), SLPM-65623 (Konami the Best), VW178-J2 (Konami the Best)
Tantei Jinguuji Saburo: Innocent Black;SLPM-65173, SLPM-65489 (WorkJam Collection), SLKA-25071 (Korea), NPJD-00112 (PS2 Classics)
Tantei Jinguuji Saburo: Kind of Blue;SLPM-65576, SLKA-25224 (Korea), SLPM-65944 (Workjam Best Collection Vol. 2), NPJD-00113 (PS2 Classics)
Taxi 3;SLES-51377
Taz Wanted;SLUS-20236 SLES-50649
TBS All-Star Kansha Matsuri 2003-Aki Chou Gouka! Quiz Ketteiban;SLPM-65369, SLPM-65577 (Hudson the Best)
TearRing Saga Series: Berwick Saga;SLPS-25497, SLPS-25496 (Premium Box), SLPS-73229 (PlayStation 2 the Best)
Technic Beat;SLUS-21019 SLPS-25159
Technictix;SLPS-20055, SLPM-60134 (Trial)
Tecmo Hit Parade;SLPS-20401
Teen Titans;SLUS-21183 SLES-54430, SLES-54431
Teenage Mutant Ninja Turtles;SLUS-20716 SLES-51931
Teenage Mutant Ninja Turtles 2: Battle Nexus;SLUS-20981 SLES-53017
Teenage Mutant Ninja Turtles 3: Mutant Nightmare;SLUS-21184 SLES-53850
Teenage Mutant Ninja Turtles: Smash-Up;SLUS-21904 SLES-55565
Teikoku Sensenki;SLPS-25436, SLPS-25433 (Limited Edition), INCH-0002 (Best Version w/Drama CD), SLPM-66518 (Best Version)
Tekken 4;SLUS-20328, SLUS-20328GH (Greatest Hits), SLUS-29034 (Regular Demo), SLUS-28012 (Trade Demo) SCES-50878, SCES-50878/P (Platinum), SCED-51120 (Demo) SLPS-25100, SLPS-73414 (PlayStation 2 the Best), SLPS-73209 (PlayStation 2 the Best Reprint), SCPS-55017, SCPS-56006 (BigHit Series, Korea), SCKA-20045 (BigHit Series, Korea)
Tekken 5;SLUS-21059, SLUS-21059GH (Greatest Hits), SLUS-21160 (Demo) SCES-53202, SCES-53202/P (Platinum), SCED-53538 (Demo) SLPS-25510, SLPS-73223 (PlayStation2 the Best), SCKA-20081 (PlayStation2 Big Hit Series), SCAJ-20125, SCAJ-20126, SCKA-20049, SCAJ-20199 (PlayStation 2 the Best)
Tekken Tag Tournament;SLUS-20001, SLUS-20001GH (Greatest Hits) SCES-50001, SCES-50001/P (Platinum), SCED-50041 (Demo) SLPS-20015, SLPS-71501 (Mega Hits!), SCPS-56002, SLPS-73104 (PlayStation 2 the Best)
Tekkouki Mikazuki Trial Edition;SLPM-60143
Telly Addicts;SLES-55040
Tenchu: Fatal Shadows;SLUS-21129 SLES-53012, SLES-53013, SLES-53014, SLES-53015, SLES-53016 SLPS-25384, SCAJ-20100, SLPS-73226 (PlayStation 2 the Best), SCAJ-20093, SLKA-25198
Tenchu: Wrath of Heaven;SLUS-20397 SLES-51400, SLES-51401, SLES-51402, SLES-51403, SLES-50679 SLPS-25234, SLPS-73421 (PlayStation 2 the Best), SLPS-73237 (PlayStation 2 the Best Reprint), SCAJ-20027, SLKA-25064
Tengai;SLES-53871 SLKA-15037 (Premium Package)
Tengai Makyou II: Manji Maru;SLPM-65401 (Limited Edition), SLPM-65402, SLPM-74208 (PlayStation 2 the Best)
Tengai Makyou III: Namida;SLPM-65952, MH051013 (Deluxe Pack), SLPM-74240 (PlayStation 2 the Best)
Tenka-bito;SLPM-66291, SLPM-66719 (Sega the Best)
Tenkuu Danzai Skelter Heaven;SLPM-65777, SLPM-65776 (Limited Edition)
Tennis Masters Series 2003;
Tennis no Oji-Sama: Card Hunter;SLPM-66669, VW331-J1, SLPM-66642 (Limited Edition), VW341-J1 (Limited Edition)
Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic;SLPM-66608, VW329-J1, SLPM-66831 (Konami the Best), VW329-J2 (Konami the Best)
Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret;SLPM-66610, VW330-J1, SLPM-66832 (Konami the Best), VW330-J2 (Konami the Best)
Tennis no Oji-Sama: Gakuensai no Oji-Sama;SLPM-66219, VW300-J1, SLPM-66596 (Konami the Best), VW300-J2 (Konami the Best)
Tennis no Oji-Sama: Kiss of Prince Flame;SLPM-65398, VW169-J1, SLPM-65820 (Konami Dendou Collection), VW169-J4 (Konami Dendou Collection)
Tennis no Oji-Sama: Kiss of Prince Ice;SLPM-65397, VW168-J1, SLPM-65819 (Konami Dendou Collection), VW168-J4 (Konami Dendou Collection)
Tennis no Oji-Sama: Love of Prince Bitter;SLPM-65510, VW182-J1, SLPM-65818 (Konami Dendou Collection), VW182-J4 (Konami Dendou Collection)
Tennis no Oji-Sama: Love of Prince Sweet;SLPM-65509, VW184-J1, SLPM-65817 (Konami Dendou Collection), VW184-J4 (Konami Dendou Collection)
Tennis no Oji-Sama: Rush & Dream!;SLPM-65877, VW268-J1, SLPM-65756 (First Print SE), VW227-J1 (First Print SE), SLPM-66014 (Konami Dendou Selection), VW268-J4 (Konami Dendou Selection)
Tennis no Oji-Sama: Smash Hit!;SLPM-65321 (Limited Edition, w/ Bonus Disc), VW142-J1 (Limited Edition, w/ Bonus Disc), SLPM-62359 (Bonus Disc: Original Anime Game w/ Limited Edition), SLPM-65322 (B-Type), SLPM-65323 (C-Type), SLPM-65327 (Limited Edition), VW139-J1 (Limited Edition), SLPM-65677 (Konami the Best), VW139-J2 (Konami the Best), SLPM-66010 (Konami Dendou Selection), VW139-J4 (Konami Dendou Selection)
Tennis no Oji-Sama: Smash Hit! 2;SLPM-65451 (Limited Edition, w/ Bonus Disc), VW183-J1 (Limited Edition w/ Bonus Disc), SLPM-62435 (Bonus Disc: Original Anime Game w/ Limited Edition), SLPM-65452 (B-type), SLPM-65453 (C-type), SLPM-65454 (Special Limited Edition w/ card), VW185-J1 (Special Limited Edition w/ card), SLPM-65678 (Konami the Best), VW185-J2 (Konami the Best), SLPM-66011 (Konami Dendou Selection), VW185-J4 (Konami Dendou Selection)
Tennis no Oji-Sama: Sweat & Tears 2;SLPM-65370, SLPM-65371 (Bonus disc: Seishun Gakuten Tennis Matsuri '03: Perfect Live), VW149-J1, SLPM-65679 (Konami the Best), VW149-J2 (Konami the Best), SLPM-66012 (Konami Dendou Selection), VW149-J4 (Konami Dendou Selection)
Tenohirao, Taiyouni;SLPM-65560, SLPM-65559 (Limited Edition)
Tensai Bit-Kun: Gramon Battle;SLPM-65362, TCPS-10072, SLPM-61056 (Trial)
Tensei Hakken Fuumoroku;SLPM-66396
Tenshi no Present: Marl Oukoku Monogatari;SLPS-20066, SLPS-20053 (Limited Edition), SLPM-60137 (Trial), NPJD-00068 (PS2 Classics)
Tenshou Gakuen Gekkouroku;SLPM-66566, SLPM-66906 (Asmik Shirodane Series)
Tenshou Gakuen Gensouroku;SLPM-65598, SLPM-66382 (Asmik Tokuda Series)
Tentama 2: Wins;SLPM-65521, SLPM-65520 (Limited Edition), SLPM-66487 (2800 Collection)
Tentama: 1st Sunnyside;SLPS-25298, SLPM-66486 (2800 Collection)
Terminator 3: Rise of the Machines;SLUS-20799 SLES-51957, SLES-52038, SLES-52152, SLES-52151, SLES-52039 SLPM-65442, SCAJ-20058
Terminator 3: The Redemption;SLUS-20852 SLES-52283 SLPM-65837
Test Drive;SLUS-20213, SLUS-20213GH (Greatest Hits) SLES-50778
Test Drive Off-Road Wide Open;SLUS-20177 SLES-50232
Test Drive Unlimited;SLUS-21490, SLUS-29192 (Public Beta Vol.1.0) SLES-54466, SLES-53753
Test Drive: Eve of Destruction;SLUS-20910, SLUS-28043 (Trade Demo) SLES-52733
Tetris Worlds;SLUS-20247 SLES-50551
Tetris: Kiwame Michi;SLPM-62423 (SuperLite 2000 Puzzle)
Tetsu 1: Densha de Battle!;SLPS-20100
Tetsujin 28-Gou;SLPS-25362
Th3 Plan;SLUS-21618, SLUS-21466 SLES-53914, SLES-53913, SLES-53965
The Adventures of Cookie & Cream;SLUS-20170, NPUD-20170 (PS2 Classics) SLES-50224 SLPS-25013, SLPM-60127 (Demo, Taikenban)
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies;SLUS-20887 SLES-52700
The Ant Bully;SLUS-21415, SLUS-21415P SLES-54152, SLES-54178
The Arcade;SLES-52778
The Bard's Tale;SLUS-20803 SLES-53154, SLES-52894 SLKA-25246
The Baseball 2002;SLPM-62155, VW078-J1
The Baseball 2003;SLPM-65180, VW099-J1
The Baseball 2003: Akikigou;SLPM-65379, VW153-J1
The Bass Fishing & The Bowling;SLPM-62633 (Disc 1), SLPM-62634 (Disc 2)
The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%;SLPS-25734
The Bible Game;SLUS-21175 SLES-54023
The Bigs;SLUS-21623
The Bigs 2;SLUS-21860
The Bouncer;SLUS-20069 SCES-50241 SLPS-25023
The Bushidou & The Sniper 2;SLPM-62664 (Disc 1), SLPM-62665 (Disc 2)
The Chronicles of Narnia: Prince Caspian;SLUS-21756 SLES-55144, SLES-55145, SLES-55143, SLES-55146
The Chronicles of Narnia: The Lion, The Witch and The Wardrobe;SLUS-21082, NPUD-21082 (PS2 Classics) SLES-53706, SLES-53707, SLES-53708, SLES-53709, SLES-53710, SLES-53712, SLES-53713, SLES-53715 SLPS-25626, SLKA-25382 (Korea)
The Conveni 3;SLPM-62322, SLPM-62601 (Hamster the Best), NPJD-00025 (PS2 Classics)
The Conveni 4;SLPM-62724
The Da Vinci Code;SLUS-21443 SLES-54031, SLES-54118
The Document of Metal Gear Solid 2;SLUS-20543 SLES-82010 SLPM-65184, VW096-J1
The Dog Island;SLUS-21551 SLES-55126 SLPM-66662
The Dukes of Hazzard: Return of the General Lee;SLUS-20959 SLES-52747
The Fairly OddParents! Breakin' Da Rules;SLUS-20661
The Fairly OddParents! Shadow Showdown;SLUS-20880 SLES-52857
The Fast and the Furious;SLUS-21449 SLES-54483
The Fear;SLPM-65040 (Disc 1), SLPM-65041 (Disc 2), SLPM-65042 (Disc 3), SLPM-65043 (Disc 4)
The Flintstones in Viva Rock Vegas;SLES-50259
The Flintstones: Bedrock Racing;SLES-54473, SLES-54579
The Getaway;SCUS-97133, SCUS-97232 (Demo) SCES-51159, SCES-51426, SCES-51426/P (Platinum), SCED-51351 (Demo), SCES-51159/P SLPM-65410, SCKA-20018 (Korea)
The Getaway: Black Monday;SCUS-97408, SCUS-97441 (Demo) SCES-52758, SCES-52948, SCED-52946 (Demo), SCES-52758/P SLPM-66183
